,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label
0,600139.XSHG,2006-04-29,38.68,-5.0081,5.2,2.43,-8.33,600139.XSHG,-4.9,-4.9,-1.23,-141.88,3.82,234.9,-141.75,-141.88,1.43,118.31,17.09,95.08,4.82,,470.63,-134.87,99.98,-64.14,-86.48,-64.14,-86.48,14.98,94.68,-187.54,94.79,-203.58,94.92,1
0,600139.XSHG,2006-08-26,-6.98,-6.9785,7.67,7.06,-90.63,600139.XSHG,-5.11,-5.11,-1.16,-156.21,31.98,263.66,-156.2,-156.21,0.07,171.14,23.2,104.77,-4.78,,501.15,-71.89,43.92,-94.8,-8.34,-94.8,-8.34,-341.71,-1.0,-272.87,-0.92,-295.05,-1.57,-1
0,600139.XSHG,2006-10-30,-9.44,-9.4415,10.37,9.56,-129.97,600139.XSHG,-4.39,-4.39,-0.84,-98.22,38.46,198.22,-98.22,-98.22,2.74,109.96,21.02,100.0,0.0,,514.37,11.21,-11.41,147.52,11.34,147.52,11.34,45.99,29.99,45.97,30.0,40.44,29.79,-1
0,600139.XSHG,2007-04-10,-8.03,-8.0321,14.35,8.13,-110.57,600139.XSHG,488.83,488.83,-84.11,-318.08,6.52,250.8,-151.12,-318.08,0.15,3.89,3.9,47.33,0.1,,59.39,-2.04,1.36,277.09,2633.5801,277.09,2633.5801,-58.2,-4106.0298,-225.87,-8752.9805,-226.45,-8909.25,-1
0,600139.XSHG,2007-04-24,-13.87,-13.872,-6.08,14.04,-190.97,600139.XSHG,-2.78,-2.78,2.08,69.61,12.42,156.47,-51.39,69.61,0.89,53.55,8.65,-81.13,7.31,,383.46,460.6,-815.6,156.53,-90.8,156.53,-90.8,7.0,96.87,225.86,102.01,229.94,102.02,-1
0,600139.XSHG,2007-08-20,-5.32,-5.1361,-7.45,14.67,2608.54,600139.XSHG,-30.31,-30.31,17.82,169.9,9.82,-70.01,169.9,169.9,0.11,11.49,2.24,100.06,-0.06,,106.05,-7.35,-4.32,991.17,289.88,991.17,289.88,1286.92,1389.0699,1286.83,851.63,1310.75,846.4,-1
0,600139.XSHG,2007-10-22,-12.04,-9.234,-18.22,20.6,-28288.8203,600139.XSHG,1.71,1.71,-1.03,-61.89,18.19,161.88,-61.88,-61.89,2.87,60.93,13.86,99.98,0.0,,300.06,48.0,-77.57,57.31,-83.95,57.31,-83.95,0.89,-105.85,0.87,-105.85,1.84,-105.69,-1
0,600139.XSHG,2008-04-23,-11.09,-8.5055,-16.44,18.71,1230.9399,600139.XSHG,-0.51,-0.51,0.33,1.16,26.43,108.38,-8.38,1.16,14.59,0.85,7.18,-403.38,0.0,,43.73,-23.26,277.58,6.33,1747.59,6.33,1747.59,94.1,-150.17,100.39,134.68,100.33,129.85,1
0,600139.XSHG,2008-04-28,-8.31,32.5766,-12.06,14.02,922.54,600139.XSHG,2.4,2.4,-1.07,-28.75,17.96,123.28,-23.28,-28.75,1.8,29.6,5.88,80.97,0.0,,398.71,2.64,-11.33,59.88,-86.17,59.88,-86.17,27.57,61.58,-166.04,-442.18,-164.54,-501.33,1
0,600139.XSHG,2008-08-22,41.82,34.9966,-16.59,13.97,340.73,600139.XSHG,-24.92,-24.92,9.65,279.31,27.95,96.91,3.09,279.31,0.47,21.42,-0.18,1.11,0.0,,79.29,-27.84,-901.04,-61.61,-6.37,-61.61,-6.37,-99.3,112.43,-36.88,1009.49,-36.99,1023.99,-1
