,code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,code.1,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
0,002136.XSHE,2007-08-11,82.62,85.4397,22.23,6.28,235.19,002136.XSHE,3.18,3.18,1.81,6.25,16.69,90.88,9.12,6.25,2.02,3.79,1.12,97.91,0.0,,95.36,18.96,207.83,12.91,2.73,12.91,2.73,-12.71,-13.58,-10.9,-12.03,-10.9,-12.03,-1,-1,-1
0,002136.XSHE,2007-10-23,87.15,87.6497,7.91,6.24,14.5,002136.XSHE,1.53,1.53,0.9,3.76,11.43,94.38,5.62,3.76,1.66,3.47,0.16,100.0,0.0,,58.41,-28.68,-510.6,-5.39,-19.5,-5.39,-19.5,-35.76,-50.44,-21.79,-51.5,-21.79,-51.5,-1,-1,-1
0,002136.XSHE,2008-03-22,72.4,70.5318,6.3,5.08,15.95,002136.XSHE,-0.18,-0.18,-0.1,-0.3,0.97,100.42,-0.42,-0.3,1.3,0.39,-0.69,366.74,0.0,,83.85,21.17,-5028.46,21.38,42.14,21.38,42.14,-103.27,-110.65,-103.55,-111.45,-103.55,-111.45,-1,-1,-1
0,002136.XSHE,2008-04-23,92.9,92.9004,5.08,3.8,11.39,002136.XSHE,-2.28,-2.28,-1.57,-9.17,-4.18,109.17,-9.17,-9.17,2.04,3.53,-0.58,100.06,0.0,,57.99,-49.61,540.75,-24.13,-35.46,-24.13,-35.46,-164.18,-1306.63,-195.35,-1852.1,-195.35,-1852.1,-1,1,1
0,002136.XSHE,2008-08-23,377.13,50.7755,2.93,2.21,8.64,002136.XSHE,-5.21,-5.21,-3.35,-10.58,-2.54,111.88,-11.88,-10.58,1.21,2.0,0.43,99.48,0.0,,69.38,5.66,-47.67,42.42,92.85,42.42,92.85,-285.39,-149.64,-341.12,-122.45,-341.12,-122.45,-1,-1,-1
0,002136.XSHE,2008-10-24,-29.12,34.7906,2.01,1.36,-11.66,002136.XSHE,-3.77,-3.77,-2.38,-8.98,-0.87,109.88,-9.88,-8.98,1.35,3.12,0.89,100.0,0.0,,46.1,-30.09,304.63,47.99,-16.35,47.99,-16.35,-360.29,30.42,-453.19,28.96,-453.19,28.96,1,1,1
0,002136.XSHE,2009-03-28,-21.36,43.8174,3.01,1.56,-12.48,002136.XSHE,-12.88,-12.88,-7.75,-60.11,-28.07,171.29,-71.29,-60.11,2.08,5.41,2.79,94.7,0.0,,71.32,-25.19,35.34,-50.12,-52.1,-50.12,-52.1,-8346.96,-245.72,-9790.0801,-220.62,-9790.0801,-220.62,-1,-1,-1
0,002136.XSHE,2009-04-18,-11.94,-11.9376,3.46,2.03,-7.75,002136.XSHE,-1.07,-1.07,-0.56,-3.79,17.16,99.52,0.48,-3.79,2.68,4.9,2.3,100.0,0.0,,55.36,-8.07,-1673.3,-11.53,14.49,-11.53,14.49,104.65,100.77,63.42,92.78,63.42,92.78,1,1,1
0,002136.XSHE,2009-08-18,-16.58,-15.5159,4.45,2.7,-11.02,002136.XSHE,1.11,1.11,0.54,3.4,14.92,95.15,4.85,3.4,2.59,4.4,2.36,96.11,0.0,,76.15,-6.89,-142.06,-46.31,17.04,-46.31,17.04,121.91,1076.37,117.24,204.83,117.24,204.83,1,1,1
0,002136.XSHE,2009-10-22,-21.65,-14.5386,4.08,3.06,-8.13,002136.XSHE,1.91,1.91,0.91,3.07,9.98,97.12,2.88,3.07,2.61,2.92,1.29,89.45,0.0,,74.19,15.77,548.44,22.93,91.51,22.93,91.51,135.79,13.63,142.03,73.18,142.03,73.18,1,1,1
0,002136.XSHE,2010-03-30,-49.59,-22.026,5.94,4.26,-21.34,002136.XSHE,4.2,4.2,2.08,7.52,11.07,94.08,5.92,7.52,1.62,2.32,1.3,96.22,0.0,,70.58,10.33,174.47,135.08,-8.39,135.08,-8.39,119.52,88.59,129.4,124.25,129.4,124.25,-1,-1,-1
