code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
000800.XSHE,2017/4/1,-26.02,334.118,2.23,0.79,-81.29,-3.0557,-4.7672,-1.4467,-3.5468,21.4575,104.5659,-4.4726,-3.5468,8.1455,7.7521,0.3872,163.2779,-3.3346,156.0119,86.8948,12.4419,-272.4957,2.4722,18.4188,2.4722,18.4188,-1877.1229,-307.2075,-1757.0342,-286.2081,-763.6963,-316.2571,-1,-1,-1
000800.XSHE,2017/4/29,-28.15,361.4745,2.49,0.85,-87.94,2.081,1.9665,1.4452,3.735,25.5227,96.6277,4.7497,3.735,8.3429,7.0441,0.1556,69.1682,28.2511,94.4972,87.719,7.6185,225.9129,65.6452,-8.2519,65.6452,-8.2519,172.9326,197.432,162.1563,196.6162,138.2207,167.7849,-1,-1,-1
000801.XSHE,2017/4/29,60.54,50.1954,4.85,2.91,208.51,5.2546,4.884,2.4809,8.5787,23.1543,91.2062,8.8048,8.5787,4.2658,7.4688,-0.1126,92.1132,0.1155,92.9485,93.3534,7.2152,82.0485,14.3206,94.1027,14.3206,94.1027,12.0365,2708.4307,2.3995,1373.6771,10.0222,1169.8586,-1,-1,-1
000801.XSHE,2017/4/29,66.52,55.1536,5.33,3.2,229.11,0.058,-0.4701,-0.0004,-0.0031,14.2008,101.5591,-1.5612,-0.0031,3.8256,11.2787,0.637,-342.359,-0.4462,-810.9924,112.4366,-14.4913,929.4505,-25.6275,-52.9132,-25.6275,-52.9132,-168.7754,-108.3488,-100.128,-100.0168,-91.2859,-98.8708,-1,-1,-1
000802.XSHE,2017/3/17,439.58,661.7652,3.45,33.45,19.48,11.9683,4.4466,10.3707,76.546,52.3033,60.9815,93.7655,76.546,3.0425,7.9241,-1.0805,40.5706,56.9248,37.1535,65.2954,36.1561,92.6642,309.6509,569.1835,309.6509,569.1835,4398.334,4331.939,4493.7651,12094.9561,2790.1084,12034.9893,-1,-1,-1
000802.XSHE,2017/4/22,25.04,25.0379,2.96,14.12,8.73,0.1134,0.1149,0.0844,8.2444,90.9022,89.0105,10.9895,8.2444,2.603,81.4061,-7.8514,101.0967,,101.2784,468.7199,-691.3339,-6290.8838,19.6217,-91.9847,19.6217,-91.9847,121.4269,-99.0606,116.2432,-99.1367,120.0202,-99.0139,-1,-1,-1
000802.XSHE,2017/8/11,19.1411,20.2416,2.4238,11.3049,-6.5889,0.7634,0.6541,0.6377,29.3694,67.16,75.1499,25.5685,29.3694,2.7762,37.5438,2.3022,82.1046,,85.6742,306.8418,-58.8825,-236.9509,1.6332,110.3406,1.6332,110.3406,214.1339,389.387,-2.6559,649.3017,-4.4433,571.6254,-1,-1,-1
000803.XSHE,2017/3/17,-48.17,-81.5258,32.63,31.48,2251.4099,-37.3968,-36.3342,-5.3835,-202.6622,-23.4399,296.9676,-205.6096,-202.6622,5.1494,42.4869,122.3303,96.0527,4.2143,97.1586,130.0615,-29.1252,14.7868,-49.7086,-3.833,-49.7086,-3.833,-71.2707,-126.301,-24.231,-122.3217,-24.4702,-122.3479,1,1,1
000803.XSHE,2017/4/29,-42.69,-42.6881,42.84,36.05,11181.3799,-24.9916,-24.8314,-2.5725,-140.5984,-0.965,239.6988,-139.6967,-140.5984,9.7092,47.3504,79.2376,99.3602,-0.0015,99.3587,105.5448,-53.628,38.3883,-59.5757,-27.2407,-59.5757,-27.2407,-76.5733,50.5653,-76.6478,49.5227,-76.6478,49.5288,-1,-1,-1
000806.XSHE,2017/4/21,6465.0698,169.9521,8.62,16.38,245.26,0.4617,0.0357,0.3178,2.437,28.2396,97.9778,2.9912,2.437,11.3109,11.8398,0.7977,42.4349,20.3338,7.741,68.8593,20.3073,1004.2072,60.7886,23.6597,60.7886,23.6597,-14.7125,1329.3507,4583.9741,310.1224,1243.6382,416.7223,1,1,1
000806.XSHE,2017/4/28,4775.3301,125.5328,6.37,12.1,181.16,-0.6485,-0.3299,-0.5252,-6.4268,27.2633,102.6951,-6.9849,-6.4268,10.2888,17.4338,1.0409,43.4637,69.1813,50.8625,76.7776,-62.2497,2309.75,57.2631,-35.8803,57.2631,-35.8803,-17.0854,-249.7273,-38.2573,-269.0957,-4.6004,-240.8069,1,1,1
000807.XSHE,2017/4/7,57.06,594.2062,3,1.16,10.62,-0.9432,-0.6045,-0.2568,-1.7977,14.5552,100.9466,-1.1063,-1.7977,2.1363,4.8335,4.5141,50.052,8.4462,64.0856,58.4129,-39.7972,4204.3975,13.24,11.2348,13.24,11.2348,91.2458,-121.7034,46.4151,-142.8951,-157.0148,-154.397,1,1,1
000807.XSHE,2017/4/15,62.17,647.4187,3.27,1.27,11.58,1.2613,1.2497,0.4093,2.7488,12.4367,96.5707,3.3134,2.7488,2.0361,2.7734,3.8703,102.6273,-3.4686,99.0783,92.951,8.5697,249.8954,57.4735,6.4049,57.4735,6.4049,284.1756,418.6877,500.569,262.7035,381.9709,265.1355,-1,-1,-1
000809.XSHE,2017/4/25,-22.61,-27.1344,1.55,185.96,-84.44,-4.1784,-4.2267,-1.9904,-2145.5588,-3.3852,3314.7822,-3200.146,-2145.5588,-0.5993,55.9307,920.4558,100.7776,,101.1561,123.0058,-712.1182,22.1514,-46.2479,0.9659,-46.2479,0.9659,-34.2866,-334.3293,-24.5702,-222.2593,-24.5702,-222.2593,-1,-1,-1
000809.XSHE,2017/4/25,-17.71,-21.2476,1.22,145.61,-66.12,-1.1478,-1.1614,-0.5364,-832.0564,-44.0273,941.886,-841.886,-832.0564,0.0369,232.3656,552.8584,101.1814,,101.1814,86.8047,-1195.8033,142.0386,24.563,-31.0409,24.563,-31.0409,-70.9449,81.8584,-61.3664,73.2574,-61.3664,73.2574,-1,-1,-1
000809.XSHE,2017/8/18,-12.8839,-13.5824,1.0999,149.544,-7.7224,-1.5524,-1.5488,-0.7137,-947.3449,-26.3085,1192.2026,-1013.3008,-947.3449,2.1024,133.8176,645.4986,107.5528,,99.7675,162.6284,-401.6581,36.7751,-17.1536,17.2002,-17.1536,17.2002,19.9584,-41.0631,10.7533,-33.4393,10.7533,-33.4393,-1,-1,-1
000810.XSHE,2017/3/17,28.59,35.0334,6.34,2.94,-458.88,5.6286,4.583,2.2846,8.6961,20.1036,93.5858,6.6546,8.6961,5.6258,9.0925,-1.124,66.3444,2.4873,81.4226,114.24,9.5206,148.4316,-19.2689,42.3047,-19.2689,42.3047,-47.0985,73.8358,-33.24,61.7195,-31.171,79.7884,-1,-1,-1
000810.XSHE,2017/4/21,28.05,28.0546,5.14,2.3,28.13,1.1511,0.5745,0.5472,2.1794,13.7459,99.6925,0.3891,2.1794,5.871,6.3526,0.1243,12.94,3.4344,49.9126,104.8229,-21.7558,-7075.8086,-0.9218,-1.5583,-0.9218,-1.5583,-96.3516,-94.2445,-77.5947,-75.3285,-79.2211,-77.9072,-1,-1,-1
000811.XSHE,2017/4/13,21.4,21.2189,2.93,2.22,38.82,2.5003,2.3064,1.2079,6.8984,28.3502,95.2432,6.5243,6.8984,13.534,7.6247,-1.9173,66.1191,24.5687,92.2431,90.1013,19.3673,407.153,9.7458,11.8566,9.7458,11.8566,-21.4475,-32.005,-5.9437,-22.0738,-6.66,-23.2189,1,1,1
000811.XSHE,2017/4/27,24.19,23.9792,3.31,2.51,43.87,3.7753,1.0068,1.7087,13.3887,28.9948,95.8744,20.7239,13.3887,12.7779,8.525,2.048,19.7989,79.6551,26.6675,92.5918,-17.9051,-433.9958,17.4452,-25.5584,17.4452,-25.5584,851.8202,136.4579,1204.8066,44.4791,2090.6948,56.8944,-1,-1,-1
000812.XSHE,2017/3/18,258.82,281.988,6.34,7.33,-166.68,1.5103,1.5544,0.9686,4.9884,25.0772,90.9219,9.0781,4.9884,3.6306,7.2137,0.2225,101.9989,,102.9194,51.3656,2.2468,24.7502,165.0782,9.6947,165.0782,9.6947,584.4304,180.0339,178.9604,51.8789,35585.293,65.5872,-1,-1,-1
000812.XSHE,2017/4/25,151.53,151.5305,5.92,5.33,228.25,0.7234,0.7028,0.8258,8.1083,26.1284,91.212,8.788,8.1083,4.5871,11.3398,1.0447,98.8341,,97.1519,79.2399,4.7329,53.8564,9.4731,-51.1726,9.4731,-51.1726,8.3689,-52.733,6.0026,-20.6347,3.1843,-51.5627,-1,-1,-1
000812.XSHE,2017/8/1,108.5107,109.1327,4.2355,3.7754,52.6949,0.4029,0.4401,0.355,3.4328,24.5211,96.4154,5.322,3.4328,5.7392,11.9103,1.4676,72.907,,109.2437,65.7244,-10.1414,-282.9181,58.5687,0.5241,58.5687,0.5241,-25.7638,-39.1225,-51.0329,-57.4416,-49.2659,-43.9989,-1,-1,-1
000813.XSHE,2017/4/22,126.08,3500.7063,10.14,28.83,102.85,4.8205,4.7268,4.5185,36.3421,85.8981,58.0902,42.7022,36.3421,26.2991,14.8831,0.2781,97.7118,,98.0566,59.5175,-11.515,-27.4757,7.3769,-3.5887,7.3769,-3.5887,-8.9806,-30.4635,-7.8607,-27.7382,-8.0467,-27.6106,-1,-1,-1
000813.XSHE,2017/4/22,122.58,3403.6665,9.86,28.03,100,4.2466,4.213,4.0397,46.4044,84.6334,45.295,55.1057,46.4044,18.9839,8.5549,-0.0578,99.2138,0.7267,99.2083,63.952,8.942,16.3458,13.7906,-9.7313,13.7906,-9.7313,26.1519,16.4887,24.3304,15.2621,24.5263,14.918,-1,-1,-1
000813.XSHE,2017/8/19,27.8834,29.235,4.9395,13.0227,13.5882,6.5335,6.4605,6.2009,59.2056,86.716,31.2009,69.1368,59.2056,9.1349,6.9286,-0.5548,98.9531,0.4857,98.8827,115.6216,57.45,83.5039,28.7656,27.2963,28.7656,27.2963,34.6115,59.7088,30.1064,62.4125,30.1066,62.4232,-1,-1,-1
000815.XSHE,2017/4/26,48.82,96.4865,7.54,27.65,41.51,3.6403,-1.0994,2.5456,36.0825,5.4978,109.36,-6.7394,36.0825,3.5238,11.9958,-3.1204,-24.0201,,-30.2005,-0.7084,63.5349,-678.7898,56.3554,57.5604,56.3554,57.5604,42.647,29.9506,-80.3317,477.0084,-80.4475,474.7905,-1,-1,-1
000815.XSHE,2017/4/29,39.08,77.2362,6.03,22.13,33.23,-0.504,-0.6467,-0.3452,-5.596,8.5364,107.0564,-4.5335,-5.596,3.4579,11.3893,-0.035,126.0975,-45.0845,128.2939,42.3459,-72.4463,1026.673,56.0235,-10.0094,56.0235,-10.0094,65.5012,39.4647,57.0949,-113.9565,57.0229,-114.0627,-1,-1,-1
000816.XSHE,2017/3/29,412.55,329.1892,2.6,4.89,624.01,-4.2884,-4.238,-2.4059,-44.5375,9.8976,148.1185,-48.1166,-44.5375,15.8234,23.5733,-0.4439,95.7884,-0.0038,98.8246,-13.3274,33.0361,-68.6557,-2.6941,-32.6661,-2.6941,-32.6661,-8377.9785,-629.0825,-1118.4927,-1106.3182,-1173.4666,-1906.2991,-1,1,1
000816.XSHE,2017/4/22,-69.97,-69.974,2.89,5.27,285.65,0.1598,-0.1603,-0.0183,-0.2333,13.4642,103.1363,-3.1247,-0.2333,4.059,8.8237,2.4404,452.7973,-1.6732,-100.3071,84.285,0.2725,-8.6885,4.2837,46.7474,4.2837,46.7474,-15664.7793,90.4701,-140.9321,99.2314,-47.0869,103.6495,1,1,1
000818.XSHE,2017/4/29,83.83,72.1531,4.07,3.55,-435.75,3.1893,3.5404,2.7089,8.6279,17.6434,90.8001,9.1999,8.6279,1.1473,3.065,0.0107,108.2489,,111.0075,94.9884,17.3715,188.8231,19.8956,21.3167,19.8956,21.3167,11.1755,181.6445,16.495,125.451,11.7533,127.2593,-1,-1,-1
000818.XSHE,2017/4/29,75.25,75.2507,3.92,3.24,-418.92,1.279,1.4682,1.079,4.1794,18.1642,93.9906,6.0094,4.1794,1.6297,8.1743,-0.1627,111.5786,,114.7954,102.7207,2.8248,47.006,34.8324,-15.0718,34.8324,-15.0718,1664.7563,-44.5242,278.5678,-58.8608,217.8797,-58.5674,-1,-1,-1
000818.XSHE,2017/8/16,53.7134,63.3162,3.1266,2.5468,41.9633,1.3818,1.4788,1.1488,3.9315,21.0098,94.5977,5.7794,3.9315,2.0789,11.693,-0.1051,103.3861,,107.0225,85.9231,-8.2392,-152.5142,36.2477,13.6881,36.2477,13.6881,4748.1929,9.3366,2478.2156,6.9445,2386.2234,8.7244,-1,-1,-1
000819.XSHE,2017/3/28,169.32,139.2996,9.7,5.1,-20.43,0.3588,0.4092,-1.1431,-2.6139,12.2345,99.7388,-0.3303,-2.6139,0.5007,6.4,-1.6101,-60.0714,136.0173,114.0602,85.7412,2.6485,1013.7954,10.9611,4.4951,10.9611,4.4951,-107.9354,-108.5365,-199.7697,-206.179,-79.3654,-78.4466,-1,-1,-1
000819.XSHE,2017/4/21,198.04,198.0448,8.58,4.41,260.53,0.4322,0.4337,0.2256,0.4567,6.5566,98.7494,0.9351,0.4567,0.672,4.2351,-0.0899,134.2636,-33.8748,100.3674,96.252,1.8383,146.9898,40.1217,12.404,40.1217,12.404,-5.5999,418.2388,7.1541,119.6386,-11.1364,21.0273,-1,-1,-1
000820.XSHE,2017/4/27,260.18,1607.6923,33.69,54.46,70.13,28.611,27.8152,16.1675,42.6642,65.3734,50.5768,49.4232,42.6642,0.6819,10.5591,-2.4231,98.821,,97.2185,65.4333,-13.9375,-28.2003,36.8642,275.5426,36.8642,275.5426,128.9964,270.8077,127.6827,269.7236,127.6827,269.7236,-1,-1,-1
000820.XSHE,2017/4/27,368.13,2274.6897,47.66,77.06,99.22,9.5159,9.6432,5.7387,48.6218,65.2993,41.7991,58.2009,48.6218,1.9573,13.3928,-8.3573,101.1301,,101.3376,338.2741,213.2181,366.3488,0.7608,-64.9161,0.7608,-64.9161,73.7405,-58.6851,68.3183,-60.017,68.3183,-60.017,-1,-1,-1
000821.XSHE,2017/3/30,100.9,153.363,4.57,6.28,43.25,2.3659,2.1813,1.5158,11.3776,31.1214,88.9708,12.1354,11.3776,6.1451,11.8241,-1.9821,78.884,7.9116,92.197,83.6207,6.1178,55.4693,13.0127,24.2578,13.0127,24.2578,26.827,138.2423,22.1529,132.5835,26.3454,140.5146,-1,-1,-1
000821.XSHE,2017/4/26,90.89,90.8869,4.46,6.05,36.37,0.7122,0.5982,0.5761,6.638,25.3635,95.5584,6.8398,6.638,4.6507,12.2155,2.7534,62.7266,33.8679,83.9899,127.9748,0.7569,17.0404,11.9196,-34.4164,11.9196,-34.4164,451.0715,-63.0355,330.9471,-61.7368,1238.9775,-69.4316,-1,-1,-1
000821.XSHE,2017/8/19,65.4526,74.2654,3.6417,4.8424,49.1262,3.3202,2.9083,2.0164,14.0966,33.9767,87.5159,14.6203,14.0966,5.4482,11.1166,2.196,80.2971,13.7398,87.5946,84.6443,6.5723,52.645,27.6562,64.9445,27.6562,64.9445,89.9985,252.5737,104.6003,250.2798,118.9158,374.2059,-1,-1,-1
000822.XSHE,2017/3/25,73.3,51.7441,2.72,2.02,73.68,-8.4703,2.5605,-5.2899,-16.3345,18.8281,91.3823,8.6518,-16.3345,3.7019,4.0463,0.146,-47.375,-0.1871,-30.2297,-62.2106,10.1632,117.9339,23.7773,34.5007,23.7773,34.5007,69.1034,226.3375,-1058.0837,-573.3892,-1050.5203,-572.5141,1,1,1
000822.XSHE,2017/4/21,-46.69,-46.6865,2.68,1.71,-43.51,12.0751,12.0341,7.3254,24.9848,32.6209,75.082,24.9485,24.9848,3.1132,2.6972,0.0967,99.5364,0.1221,99.6602,50.564,-0.8743,-3.5086,83.5382,-5.0477,83.5382,-5.0477,475.6392,173.8077,15426.0938,245.236,14049.7441,245.3272,-1,1,1
000822.XSHE,2017/8/4,48.2409,-59.049,3.0019,1.8815,-159.0118,2.5095,2.5683,1.6501,5.5047,14.1354,94.5818,5.6855,5.5047,3.251,3.7557,0.095,94.9639,4.6854,102.3445,57.6784,12.1627,224.4802,53.0002,1.7969,53.0002,1.7969,205.8634,-76.8016,152.3463,-77.5718,151.0126,-77.671,-1,-1,-1
000823.XSHE,2017/4/15,57.83,73.0316,2.26,1.9,28.19,2.5198,1.5917,1.7908,8.8481,21.6906,93.5978,8.8414,8.8481,3.4958,11.1593,-2.8334,68.7379,26.1891,63.1671,87.5887,7.2987,114.0028,2.2982,-0.1824,2.2982,-0.1824,3959.3684,7.4918,1683.1407,18.9647,2271.0322,34.0457,-1,-1,-1
000823.XSHE,2017/4/26,67.46,85.1937,2.63,2.22,32.89,1.8666,1.8227,1.4819,7.3647,22.1561,91.3223,8.6272,7.3647,3.175,8.8896,0.9798,98.5989,-0.5738,97.6479,88.0683,7.219,83.1903,15.3942,0.551,15.3942,0.551,215.506,-1.885,208.0738,-16.306,283.993,-24.644,-1,-1,-1
000825.XSHE,2017/4/27,-10.67,-6.0471,1.01,0.4,16.96,1.3613,1.3051,0.3712,1.6166,14.552,99.0408,1.5846,1.6166,2.3276,3.4155,2.1126,57.7303,37.6353,95.8747,83.5539,10.7146,1116.9932,5.2907,12.6841,5.2907,12.6841,109.1484,-46.8445,109.0325,-46.7726,110.3023,-43.8912,-1,-1,-1
000825.XSHE,2017/4/27,-13.65,-7.7354,1.3,0.51,21.7,1.4234,1.3287,0.3957,1.7054,9.6952,98.4692,1.5893,1.7054,2.4669,2.8884,2.2781,89.1358,3.41,93.3483,113.1402,3.2243,210.632,47.9073,0.4613,47.9073,0.4613,145.8215,0.7627,149.9131,5.9785,159.1575,6.053,-1,-1,-1
000826.XSHE,2017/4/19,27.35,30.2713,3.8,3.74,45.55,4.6725,4.607,1.6691,23.4053,43.2741,76.6896,23.6677,23.4053,2.3734,10.1934,6.0672,85.3936,1.3086,98.5988,92.7037,28.4767,122.1629,-28.2769,-19.2815,-28.2769,-19.2815,11.4402,14.7092,15.5997,31.771,16.3437,31.8419,-1,-1,-1
000826.XSHE,2017/4/29,28.45,31.4829,3.96,3.89,47.37,2.3814,2.1798,0.8853,11.454,27.5693,86.8913,12.8685,11.454,1.0384,7.5185,4.9417,91.717,-1.6802,91.534,35.99,-14.2517,-108.7196,11.142,16.0317,11.142,16.0317,1.3947,-36.9114,7.4064,-43.217,7.6594,-42.4952,-1,-1,-1
000828.XSHE,2017/3/25,15.68,16.0158,2.67,10.71,9.63,4.0503,4.1057,2.3308,59.1621,52.0309,50.383,71.635,59.1621,,4.8497,-8.5089,68.8417,30.5491,101.3679,84.4551,-524.1098,-1056.3103,9.9282,4.3688,9.9282,4.3688,-0.1201,-10.9022,-2.5302,-8.7993,-2.3391,-8.9566,-1,-1,-1
000828.XSHE,2017/4/28,17.76,17.7554,2.89,11.76,-22.58,4.1033,4.0872,2.3301,64.9558,65.4295,36.7451,80.6421,64.9558,,2.39,-2.9059,78.1992,21.4951,99.6079,80.5448,-10.9668,-17.3374,17.2052,-3.8323,17.2052,-3.8323,14.9738,8.2595,14.9615,5.5854,14.6736,5.4988,-1,-1,-1
000829.XSHE,2017/3/23,-454.09,-47.5419,5.14,0.29,19.1,7.5216,7.1016,1.8576,2.3186,4.5165,98.9135,1.089,2.3186,1.6873,1.0708,0.5592,86.4652,0.1978,94.4156,116.4987,5.5897,514.4676,-25.0865,30.1399,-25.0865,30.1399,175.6068,-27.5227,255.3272,92.6464,290.2272,75.4609,1,1,1
000829.XSHE,2017/4/29,48.41,48.4073,4.91,0.32,-11.26,0.2834,0.1487,0.1072,0.1485,3.9538,100.077,-0.056,0.1485,1.7881,0.8319,0.8633,383.8084,-104.443,52.4858,116.0712,-3.0445,3955.7153,-10.5426,-7.2828,-10.5426,-7.2828,-142.2012,-104.7696,31.3876,-94.061,-31.6885,-96.1381,-1,-1,-1
000830.XSHE,2017/4/18,69.11,28.3034,0.97,0.78,-17.88,0.8653,0.6999,0.3014,2.253,20.4739,97.5114,2.166,2.253,3.9088,6.126,6.419,91.3975,-11.8468,80.8883,72.7271,6.1601,247.5395,16.0438,25.3349,16.0438,25.3349,197.5834,38.7863,219.8847,42.2307,219.8847,42.2307,-1,1,1
000830.XSHE,2017/4/18,69.48,28.4553,0.97,0.78,-17.97,2.8049,2.7435,0.9549,6.4786,17.6618,91.6555,8.3688,6.4786,2.7108,2.9809,3.0314,97.5621,0.2838,97.8117,118.587,18.7927,225.2102,57.3477,14.2487,57.3477,14.2487,3970.9934,341.4263,1427.6471,228.5208,1427.6471,228.5208,-1,1,1
000830.XSHE,2017/8/16,21.1862,40.0143,1.6327,0.8218,-52.0251,3.5177,3.4029,1.2134,8.6874,20.6417,89.4087,10.8144,8.6874,3.1884,3.3287,2.7293,96.7253,-0.0829,96.7354,109.4057,31.0988,293.6247,29.819,-3.4493,29.819,-3.4493,212.7184,24.7655,176.8138,29.4692,176.8138,29.4692,-1,-1,-1
000831.XSHE,2017/4/14,-32.3,-29.9331,5.81,97.05,100.55,3.0521,-2.6919,2.8415,17.4699,9.8762,100.3108,35.3889,17.4699,0.2098,6.191,-1.4205,-0.8676,99.6689,-88.1981,16.763,7.3033,-2350.1616,1075.9568,3726.416,1075.9568,3726.416,134.5001,1119.7976,118.8849,817.8131,118.9601,981.2177,-1,-1,-1
000831.XSHE,2017/4/29,-35.01,-32.4481,6.3,105.2,109,0.4172,0.169,0.4122,8.514,12.1302,93.7653,6.4835,8.514,0.481,16.8982,-0.5801,55.5107,2.2157,40.4976,257.1337,146.1632,2344.3662,68.5499,-70.4718,68.5499,-70.4718,148.3845,-94.5902,165.305,-85.6094,153.7937,-86.4981,-1,1,1
000831.XSHE,2017/8/15,254.2967,579.9085,5.3916,21.9818,-54.0247,0.9011,0.4005,0.9451,11.925,13.157,90.7866,9.3496,11.925,0.4187,6.781,-0.8789,60.5022,0.8947,44.4452,64.797,-53.5732,-581.4708,718.5458,63.652,718.5458,63.652,160.6186,135.9967,190.1952,129.2171,187.742,117.333,-1,-1,-1
000833.XSHE,2017/3/29,155.62,50.9839,2.64,3.92,-698.64,1.6819,-0.1027,1.3194,10.0681,16.1013,99.9218,0.1036,10.0681,3.2865,6.5979,-0.1222,0.7234,0.2345,-6.1089,111.664,24.755,31656.1016,10.681,-12.771,10.681,-12.771,-95.8841,-80.784,-10.8091,3132.6189,-10.8091,3132.6189,-1,-1,-1
000833.XSHE,2017/4/27,149.08,149.0777,2.19,3.22,20.04,0.4154,0.0492,0.3167,3.1376,16.6393,99.7071,0.4114,3.1376,4.2736,8.8196,0.5565,7.99,3.2329,11.8416,111.8133,-73.1307,-24969.5312,-5.7514,-19.9755,-5.7514,-19.9755,123.5371,217.9135,290.1021,-75.0611,290.1021,-75.0611,-1,-1,-1
000835.XSHE,2017/4/29,-50.83,232.632,11.72,13.81,-426.2,3.5399,-40.0364,0.8674,13.0608,42.6114,259.0418,-18.1149,13.0608,16.0786,24.5133,2.2005,3176.2666,,-1130.9969,81.997,3.756,-2.3616,21.4422,77.6534,21.4422,77.6534,23.4129,-576.7986,29.7204,936.7612,38.029,899.8922,-1,-1,-1
000835.XSHE,2017/4/29,-39.46,180.5608,9.09,10.72,-330.8,6.0066,2.6893,1.6076,37.9349,55.7586,81.083,18.917,37.9349,14.1514,16.4745,3.8363,40.3706,,44.7728,113.8494,-12.0797,-63.8565,-1.5564,-39.6374,-1.5564,-39.6374,156.1025,163.0353,214.1595,75.3215,214.9008,72.4628,-1,-1,-1
000836.XSHE,2017/3/11,35.34,62.7826,5.21,4.9,608.97,1.1055,-0.4519,1.0149,4.6693,6.996,102.3733,4.817,4.6693,0.887,4.8606,3.8138,-46.8822,142.0386,-40.8792,-52.9205,4.4387,-187.0306,20.1703,21.8235,20.1703,21.8235,260.3342,62.9069,-88.1789,77.051,-91.4426,197.7669,-1,-1,-1
000836.XSHE,2017/4/22,195.35,195.3513,5.52,4.98,-45.99,0.2741,0.1962,0.5156,3.075,10.8636,96.0255,4.0686,3.075,0.761,6.2147,-0.491,98.041,2.3207,71.6026,102.8854,3.3983,85.502,18.0419,-21.0386,18.0419,-21.0386,-22.5676,-33.3073,-40.886,-48,-73.069,-75.0378,-1,-1,-1
000837.XSHE,2017/4/25,-39.08,-24.8889,2.12,2.26,15.53,1.392,-2.1763,0.5988,6.375,17.3189,110.5271,-9.533,6.375,6.4376,13.7233,2.4884,-149.3695,14.1046,-156.35,76.7997,-2.0122,19.1146,16.2341,21.9442,16.2341,21.9442,53.6519,-4247.5947,134.2609,41.1212,130.669,23.9478,-1,-1,-1
000837.XSHE,2017/4/29,431.95,431.9528,2.49,2.55,18.24,0.1721,-0.6926,0.138,1.461,15.936,102.6462,0.3052,1.461,5.3926,9.6873,2.5388,-146.4546,163.3464,-402.5291,71.8881,-4.0189,151.8763,29.4513,1.0791,29.4513,1.0791,104.2229,103.2361,130.6521,-76.8355,116.2609,-87.5335,-1,-1,-1
000838.XSHE,2017/1/20,108.46,119.2599,6.23,7.91,46.33,1.6537,1.5933,0.3711,3.715,23.7224,94.1139,6.0833,3.715,3.0465,4.9731,0.5324,96.7015,3.2396,96.3438,89.5814,17.0761,290.1096,554.0916,151.8548,554.0916,151.8548,194.1934,279.8553,361.5204,247.5028,248.3836,282.0503,-1,-1,-1
000838.XSHE,2017/4/25,74.05,74.051,5.05,4.8,-92.6,0.3932,0.3779,0.1157,7.5697,40.7841,88.5339,13.872,7.5697,9.5784,14.8788,2.083,80.3394,16.8575,96.1076,431.1516,-265.4307,-2314.926,-58.6145,-84.1893,-58.6145,-84.1893,-51.4364,-63.946,-60.1795,-67.7844,-64.7936,-75.981,-1,-1,-1
000839.XSHE,2017/3/18,132.41,102.3816,5.51,10.32,150.23,0.1723,0.0673,0.0378,0.3996,19.2825,104.2199,0.1715,0.3996,6.8668,11.1161,2.0674,-800.9278,833.4773,39.046,79.5127,15.1399,-358.776,48.8817,41.0877,48.8817,41.0877,-96.9598,-96.0082,-91.1919,-89.9266,-78.7755,-78.068,-1,-1,-1
000839.XSHE,2017/4/28,174.02,174.024,6.14,10.2,743.54,0.8294,0.7436,0.4005,5.3389,19.2811,100.2562,6.1693,5.3389,5.287,8.0684,5.4031,-3.7127,93.1258,89.6601,64.1055,-22.1607,8650.8652,35.2303,-14.7842,35.2303,-14.7842,-25.3757,2965.5002,-26.961,1038.5754,-35.3948,384.9399,-1,-1,-1
000848.XSHE,2017/4/28,22.68,23.6384,5.79,4.29,29.24,4.4678,4.5737,3.2488,16.205,41.9027,78.2903,20.6151,16.205,17.3683,2.6687,-1.409,107.9056,-5.4408,102.3691,204.1937,124.5689,573.7925,-4.9851,6.4972,-4.9851,6.4972,-21.9419,-9.9174,-26.219,-1.8833,-27.33,-5.1425,-1,-1,-1
000848.XSHE,2017/4/28,22.33,23.2793,5.71,4.23,28.8,9.494,9.2293,7.0604,25.2379,47.6052,66.9011,33.0989,25.2379,12.4366,1.1826,-0.1477,97.2802,,97.212,41.7871,-52.8228,-159.5907,-36.9153,44.9271,-36.9153,44.9271,-21.2668,132.6902,-19.3581,125.7118,-19.0098,128.0706,-1,-1,-1
