code,pubDate,pe_ratio,pe_ratio_lyr,pb_ratio,ps_ratio,pcf_ratio,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,label_30,label_60,label_90
000010.XSHE,2017/4/22,123.7,188.5169,2.96,5.82,185.61,0.8126,0.786,0.3714,5.1308,26.1412,129.0247,7.9277,5.1308,2.7624,11.4775,3.5979,-349.4443,444.8909,96.7205,72.4168,30.6413,-105.5697,-15.6369,134.7871,-15.6369,134.7871,118.4686,13832.3154,-41.7826,487.595,-41.5528,509.7817,-1,-1,-1
000010.XSHE,2017/4/28,105.63,166.2087,2.53,4.97,158.49,-1.158,-1.1192,-0.591,-24.439,22.3979,129.3649,-27.8255,-24.439,14.2978,27.2,16.4674,101.7317,-5.3331,96.648,1097.1849,745.2132,-2537.7666,-13.4044,-69.6087,-13.4044,-69.6087,19.6593,-206.6701,22.6229,-244.7606,22.0095,-242.2627,-1,-1,-1
000011.XSHE,2017/3/31,108.78,71.1816,5.49,11.56,5.54,16.2501,16.4067,5.4428,23.672,70.75,67.229,32.7906,23.672,1.2939,1.9013,-0.5447,100.8573,0.0604,100.9636,30.3936,9.8713,30.122,246.5328,870.1087,246.5328,870.1087,3209.5601,14818.666,228.0591,18631.2344,228.0591,18631.2344,1,1,1
000011.XSHE,2017/4/29,27.24,27.2413,4.01,4.69,5.02,11.7746,11.7642,4.6434,29.0365,74.7318,61.4572,38.6265,29.0365,0.4768,2.4036,-0.6952,99.7079,0.2165,99.9123,33.6667,-24.3553,-63.1903,429.7262,-32.0893,429.7262,-32.0893,200670.7656,-20.003,52167.6289,-16.6994,52167.6289,-16.6994,1,1,1
000012.XSHE,2017/4/28,24.8,37.6698,2.95,2.73,185.35,1.0502,1.6724,0.5047,3.4897,25.2765,94.2091,4.3055,3.4897,3.967,8.2375,2.3719,123.013,-31.5553,159.2386,118.5895,26.4547,456.8284,19.388,6.8861,19.388,6.8861,-42.8443,-60.2532,-38.344,-66.2272,-40.2367,-66.6061,-1,-1,-1
000012.XSHE,2017/4/28,23.94,36.2414,2.84,2.64,178.95,2.1545,1.8903,1.0244,7.7136,23.6715,91.9863,8.0137,7.7136,3.0746,8.2451,2.9458,87.8633,,87.739,103.9208,19.0797,238.0873,17.2051,-6.8159,17.2051,-6.8159,-15.778,73.4438,-13.9598,105.97,-16.9426,105.4169,-1,-1,-1
000014.XSHE,2017/3/30,114.1,79.1762,6.02,11.53,51.3,6.469,6.1382,2.3328,10.5119,21.885,86.7344,13.2656,10.5119,2.6197,2.7937,0.1972,94.9739,,94.8862,75.325,61.8936,466.573,137.9563,810.1573,137.9563,810.1573,-13.3422,537.7315,-12.587,711.6469,-14.4947,750.9357,1,1,1
000014.XSHE,2017/4/26,128.02,128.0196,4.97,5.9,27.59,-0.4574,-0.8119,-0.1883,-3.4906,12.5821,108.7027,-8.7027,-3.4906,4.7583,13.2242,0.6417,194.8145,,177.4913,239.0186,197.8858,-2273.8381,199.9511,-78.3836,199.9511,-78.3836,26.9402,-114.1812,30.0008,-107.1779,30.71,-107.2832,-1,-1,-1
000016.XSHE,2017/3/31,-24.19,-8.6407,3.95,0.57,-15.12,4.9551,-5.7115,0.875,2.4883,12.5822,104.8851,0.5599,2.4883,10.0889,2.9616,0.9373,-233.9481,260.7621,-115.2659,54.5319,-9.8829,202.3072,24.8687,-5.4268,24.8687,-5.4268,105.8813,125.6546,133.8718,339.1589,134.6022,344.9091,-1,1,1
000016.XSHE,2017/4/29,110.74,110.7413,3.65,0.52,19.89,0.9001,-0.6438,0.1451,0.554,14.1512,101.012,-1.745,0.554,11.055,2.899,0.9128,-152.8466,-110.7203,-71.5284,74.7896,-34.7701,3435.8755,15.0776,-17.525,15.0776,-17.525,-27.0896,-357.0462,89.9865,-81.6391,211.3494,-81.2539,-1,1,1
000017.XSHE,2017/4/27,5128.25,-50211.0859,520.06,47.49,-612.93,3.7078,2.6101,1.6731,4.4638,18.9618,96.1347,3.8653,4.4638,3.5167,9.0109,-0.0831,97.2854,,70.3936,78.9009,28.8013,745.1282,-30.4495,-59.3527,-30.4495,-59.3527,161.0073,-71.5184,209.5493,-58.8654,177.3242,-67.9533,-1,-1,-1
000017.XSHE,2017/4/28,4040.5601,-41005.7227,409.76,37.42,-482.93,1.4668,0.6538,0.6699,1.5365,11.3023,98.4334,1.5666,1.5365,5.411,4.8452,-0.8236,69.9392,,44.5733,54.9811,-6.1698,-393.833,5.9272,5.823,5.9272,5.823,208.0393,-57.1099,68.3815,-63.5755,45.0728,-59.4084,-1,-1,-1
000018.XSHE,2017/4/28,47.12,52.4197,11.91,4.43,54,10.0601,11.0323,2.3503,11.8723,29.6773,84.875,15.2634,11.8723,0.835,8.1731,1.464,109.8552,1.0052,109.6641,85.7252,-0.1074,-0.7099,30.8718,11.8263,30.8718,11.8263,103.5941,74.85,64.0467,68.9685,63.7489,69.0311,-1,-1,-1
000018.XSHE,2017/4/29,42.86,50.3621,10.83,4.03,49.13,5.435,5.435,1.2156,9.3638,25.2075,88.2486,11.7514,9.3638,0.5212,6.1571,4.6579,100.298,,100,68.5527,-42.189,-359.0144,14.6213,-25.9561,14.6213,-25.9561,31.3043,-42.9935,30.6199,-41.6006,29.3029,-41.9167,-1,-1,-1
000018.XSHE,2017/8/12,25.9133,27.1411,6.8887,2.6782,-146.1224,8.8719,8.6782,2.0183,9.1709,22.3038,89.4771,10.5229,9.1709,0.6396,3.049,4.6023,97.7678,,97.816,50.6979,-4.5211,-42.9647,91.0003,85.4213,91.0003,85.4213,74.9444,66.0385,43.495,81.6002,34.893,71.2386,-1,-1,-1
000019.XSHE,2017/4/24,-135.11,-207.3887,8.12,23.41,-188.05,12.8031,-3.0026,11.2293,265.3877,47.0871,159.1353,290.495,265.3877,27.701,67.7346,-1.6179,-18.6346,110.1748,-23.4524,231.8898,134.2566,-227.0329,-47.0107,-39.1495,-47.0107,-39.1495,513.1639,925.6917,517.6746,925.0982,559.4832,1096.64,-1,1,1
000019.XSHE,2017/4/24,-125.93,-194.9633,7.57,21.82,-175.27,-0.9659,-0.9489,-0.9399,-18.5283,23.0482,118.1224,-18.7235,-18.5283,14.5095,26.5095,-1.7027,97.5605,3.2359,98.2391,120.6522,-19.7372,108.9107,-17.6538,27.1645,-17.6538,27.1645,10.9104,-108.1962,-35.2369,-108.8781,-60.4061,-107.9868,-1,1,1
000020.XSHE,2017/4/25,-278.74,-941.8358,19.58,10.92,1334.15,0.2983,0.6652,0.1533,0.5846,15.1206,97.5125,2.6934,0.5846,2.173,5.8052,0.2529,152.8141,,223.0254,196.9385,32.2842,1297.8611,47.4426,10.0678,47.4426,10.0678,121.204,204.5263,103.9195,134.3156,103.9195,134.3156,-1,-1,-1
000020.XSHE,2017/4/25,-306.27,-1010.8224,21.52,12,1465.92,0.1317,-0.0116,0.0658,0.2196,9.9988,100.0011,-0.0011,0.2196,1.7386,6.0938,1.4385,-0.3459,,-8.7766,61.1379,-9.645,878760.9375,39.3104,18.2421,39.3104,18.2421,-101.2981,-100.0482,-10.3764,-55.5884,-10.3764,-55.5884,-1,-1,-1
000021.XSHE,2017/3/31,40.69,76.7959,2.61,0.95,28.64,-1.6767,-0.3215,-0.7053,-1.7296,6.392,101.4839,-1.6261,-1.7296,0.2555,3.3074,1.075,118.2136,11.328,19.1771,81.0471,6.6657,-449.1905,8.4332,21.5266,8.4332,21.5266,-382.4755,-164.6581,-292.9427,-192.6171,-320.9704,-203.6201,-1,-1,-1
000021.XSHE,2017/4/29,63.54,63.5372,2.59,0.9,-11.4,2.143,0.3708,0.9673,3.5256,6.1381,98.0833,2.6827,3.5256,0.3027,3.8672,-0.2934,43.1309,17.2371,17.3037,108.7131,1.7179,89.6273,-3.3397,-23.179,-3.3397,-23.179,-50.6059,226.7322,-19.3242,256.5933,-22.7117,230.99,-1,-1,-1
000022.XSHE,2017/3/28,23.1,23.2493,2.7,6.53,379.84,2.2569,2.2652,2.0122,27.5543,39.8956,71.9851,31.9842,27.5543,,10.7238,-0.9634,87.7011,12.4259,100.3699,114.4813,52.2705,186.5808,0.9866,-5.2147,0.9866,-5.2147,2.8311,-32.3513,1.0187,-33.2575,-4.6311,-34.578,1,1,1
000022.XSHE,2017/4/28,25.55,25.5543,2.89,7.14,-52.91,2.9044,2.8908,2.5119,36.1306,44.1527,63.8648,41.8874,36.1306,,7.1996,0.8988,85.7836,13.6556,99.5303,109.9224,52.6246,145.6327,6.1099,-3.7748,6.1099,-3.7748,10.7704,26.0191,10.085,26.1754,14.5383,32.0615,1,1,1
000023.XSHE,2017/3/14,572.37,164.9145,11.51,4.07,281.59,0.4358,-0.2183,0.169,0.8925,10.8092,100.526,-0.526,0.8925,1.1617,6.3632,1.5837,-73.0189,,-50.0838,76.6392,7.2493,-1378.1127,-22.1944,4.4728,-22.1944,4.4728,-112.1504,-125.3537,266.9666,-30.1067,428.5511,231.4489,-1,-1,-1
000023.XSHE,2017/4/27,392.2,392.1963,10.08,3.86,76.18,2.6827,-1.3942,0.593,3.9103,7.3793,103.6696,-3.6696,3.9103,1.5464,6.1846,2.1184,-64.9018,,-51.9707,112.6286,14.738,-401.6199,28.6215,-19.6152,28.6215,-19.6152,-1224.8748,-460.7744,14473.3379,252.1842,2602.2112,525.2406,-1,-1,-1
000023.XSHE,2017/8/11,179.6131,377.278,9.4372,3.5385,47.1912,2.165,1.9119,0.4937,2.5278,11.1863,96.5819,3.4993,2.5278,1.2548,3.7861,1.4044,88.6158,,88.3087,88.3155,21.3389,624.2897,16.2373,37.3328,16.2373,37.3328,-21.1908,230.9566,-16.5575,-11.2205,5.7199,-17.8808,-1,-1,-1
000025.XSHE,2017/4/8,326.02,384.1763,18.33,52.44,-713.35,0.1093,0.1289,0.0991,1.3988,32.5335,93.3746,4.8197,1.3988,6.4257,11.2627,-0.4622,207.9017,-56.6626,117.8785,150.987,27.9477,421.8267,16.0958,-0.1324,16.0958,-0.1324,-84.2765,-56.4909,-95.2156,-86.229,-95.9365,-88.4472,-1,1,1
